section_id,level,title,page_start,page_end,keywords,summary,image_count,anchor
s027,4,星星货：,25,26,星星货、劳动力、制作,制作材料和需要劳动力较多，并且制作材料需要使用德妃纳之星，但是星星货可 获得金币较多。如图所示：,1,s027-c3c0667e
s028,4,住民货：,26,27,普通货、住民货、熟练度、劳动力、收益、时间、制作,住民货分两种： 1）自己做的 2）住民制作台旁边的“垃圾”，如图所示： 俗称的捡垃圾便是让你去住民会馆附近拾取住民货物去跑，虽然可能货物可能已经过了最近贩卖时间，但是由于制作人熟练度通常较高，而且无须自己使用材料和劳动力制作，所以对于新人来说收益还不错。 住民货物由于大量垃圾存在，所以货率通常不高。,1,s028-1236a7e9
s029,4,肥料货：,27,27,制作、肥料货,肥料货物最大的特点就是制作材料统一，如图所示： 肥料货物可以在商团房子的制作台上制作，你可以选择去公开的商团房子，或者去家族的/工会的商团房子上制作肥料货物。,1,s029-f37b70f5
s030,4,债券货：,27,28,债券、债券货、劳动力、制作,债券货的制作材料也是统一的，如图所示： 债券货可以卖很多的金，但是也很吃劳动力，建议在货率120%左右再跑。,1,s030-5d0bc7e4
s031,4,发酵货：,28,30,发酵货、不推荐、制作,发酵货分2 种，大陆发酵和原大陆发酵（不推荐），制作材料一样，成品不是一个东西，不通用。发酵架有如下三种： 蜂蜜最值钱，其次是药材，再其次是奶酪。,3,s031-81bc56ed
s032,3,1.2.8 跑商货率的查看与变化,30,32,跑商、发酵货、地图、跑商货率的查看与变化,按下快捷键shift+o 可以唤出如下的贸易面板： 选择产地和目的地即可查看对应货率，如下： 滑动滚轮即可查看其他货物的货率。 如果我们不想看各个地图货物的货率，而是想看交易所里特产的数目的话，我们可以到特产贩卖商人处查看，如下： 信息面板红框处可以选择查看某一个地图到该交易所的特产数量、货率和基础金额。,5,s032-c00144a1
s033,3,1.2.9 公开权限商团房子的位置,32,33,位置、制作、公开权限商团房子的位置,笔者在制作攻略时所知道的公开商团如下图所示：,0,s033-5c3ce746
s034,4,西大陆,33,36,西大陆,优质公开商团（格威尔）： 优质公开商团（黄金）： 优质公开商团（双冠）： 公开商团（玛瑞）： 公开商团（西风）： 公开商团（地狱）：,6,s034-a9f2efad
s035,4,东大陆,36,41,东大陆,伊尼斯泰尔： 古代森林： 咏唱之地： 猎鹰高原： 彩虹荒野： 摩哈特比： 黎明半岛: 烈日峡谷： 洛卡山脉：,9,s035-f3ba0e03
s036,3,1.2.10 作者公会商团房子位置,41,42,跑商、位置、作者公会商团房子位置,十字星平原入口处（门口坡可以直接下去）： 索兹里德半岛入海口处（用不用鱼叉都可以跑）： 公会商团跑商教程参考视频：BV12x4y1t7SB,2,s036-ee396fd1
s037,3,1.2.11 发酵货的制备和运送,42,42,发酵货、发酵货的制备和运送,本节为“1.2.11 发酵货的制备和运送”的结构节点，正文主要分布在其子章节。,0,s037-484f78e6
s038,4,制备发酵架,42,42,熟练度、收益、制作、制备发酵架,跑发酵需要先做置物架，制作置物架熟练度对收益无影响，因此萌新可以通过帮大佬搓发酵架来获取经商熟练度。 如果你想要长期跑发酵，那么最好有一片地（自己的或者野外的）来种大量的果树和牛棚，不然发酵消耗材料很多，扫拍卖行材料或者拍卖行发酵架会比较亏。,0,s038-ccdec092
s039,4,制备发酵货,42,43,跑商、发酵货、熟练度、收益、时间、地图、制备发酵货,发酵的放置方法为右键背包内的置物架，放置在地里，然后走进按F 敲出发酵背在身上。注意：这时候要加速敲的读条虽然是畜牧熟练度和畜牧晨露，但是收益是按这时候你的经商熟练度算的，所以这时候你既要穿晨露腰带也要穿晨露鞋子。,0,s039-dcb9909b
s040,4,原大陆发酵相关,43,44,发酵货、原大陆发酵相关,由于原大陆的发酵货率极烂（50%40%等），原大陆发酵只能在地里放到过期看能不能刷新出超级发酵，超级发酵一个几千金，但是其他过期+腐烂的发酵一个只能卖十几金，连架子钱都回不来。 而且原大陆全程非安全区，需要跑车送货才比较安全，但是在居住区太里面的话， 跑车又会被各种东西卡住导致风险变大，所以你想跑原大陆发酵的话，还需要居住区边缘的土地和一辆跑车。,0,s040-1b060f02
s041,3,1.2.12 西大陆各个交易所的发酵收益,44,46,熟练度、收益、制作、9.5、西大陆各个交易所的发酵收益,索兹里德半岛交易所如下： 奶酪 药材 蜂蜜 西风脊 73.85.55 75.28.21 77.64.66 备注：本表基于27.4W 熟练度和130%货率制作，价格随熟练度和货率变动。By：幸运菌 地狱沼泽 71.30.92 73.05.43 74.49.71 珊瑚海岸 71.28.93 73.03.15 74.46.32 十字星平原 65.73.47 66.…,0,s041-d1bfcf4d
s042,3,1.2.13 东西大陆发酵野敲点,46,46,野种、东西大陆发酵野敲点,注意！！,0,s042-f1510e08
s043,4,西大陆,46,46,西大陆,待更新,0,s043-75480d7f
s044,4,东大陆,46,47,东大陆,待更新,0,s044-b603cf73
s045,3,1.2.14 海底宝箱与洛瓦塔沉船（吃探险熟练度）,47,47,海底宝箱、沉船、探险、熟练度、海底宝箱与洛瓦塔沉船、吃探险熟练度,本节为“1.2.14 海底宝箱与洛瓦塔沉船（吃探险熟练度）”的结构节点，正文主要分布在其子章节。,0,s045-b6d1192b
s046,4,事前准备,47,48,沉船、地图、制作、事前准备,不管是打捞宝箱还是沉船，开始前都需要准备打捞袋。 制作方式如下： 左边的制作工具可以在任意地图的杂货商人处买到。,2,s046-62d8596e
s047,4,打捞宝箱,48,49,海底宝箱、打捞宝箱,准备好呼吸耳环和脚蹼，最好再准备一个水里用的坐骑，在海底找到宝箱后就可 海底宝箱如下： 按F 后，会出现套着打捞袋的宝箱，你可以疾跑到打捞袋上让它带着你一起浮上去。宝箱会固定上浮一定高度，如果到了海面后记得赶紧下来，不然小心被卡住。,2,s047-22171481
s048,4,打捞沉船,49,56,普通货、沉船、探险、熟练度、打捞沉船,开始打捞沉船前你需要准备以下道具： 1 大量打捞袋 2 带齐装备的潜水艇 3 带瞭望的船 4 用于装货的带鱼叉的贸易船 准备好上述东西后就可以前往寂静之海找沉船了。 首先我们需要用瞭望在海上找到救生艇，如下图： 标记渡船前往后可以看到： 看到渡船后选中渡船，垂直下潜，沉船会刷新在渡船半径200m 的范围内。,12,s048-86534c79
s049,4,资源点位（转载）,56,61,资源点位、转载,本节为“资源点位（转载）”的结构节点，正文主要分布在其子章节。,10,s049-9829f3be
s050,3,1.2.15 领地走私货品（不推荐）,61,61,不推荐、领地走私货品,本节为“1.2.15 领地走私货品（不推荐）”的结构节点，正文主要分布在其子章节。,0,s050-f7b6c81a
s051,4,开启每日流程,61,62,势力、开启每日流程,这个任务第一次时需要玩家在对应领地的庭院植物员处接取任务。 如下图，红圈为接任务NPC，篮框为任务： 接到任务后会获得一个传送卷轴，会传送去对应势力的走私NPC 处。,2,s051-f641750a
s052,4,走私品材料获取,62,63,势力、制作、走私品材料获取,在走私NPC 接取完紫色的任务后，会获得一个每日任务，要求如下： 拿到花后与走私NPC 对话完成任务，他会再出一个紫色任务让你去领地找庭院植物管理员，这时候还没消耗花，但是背包会多出来一个任务道具。 到对应势力领地的热情的庭院植物员交任务后，会消耗3 色庭院花各5 朵和任务道具交任务，然后同NPC 处接取以下任务： 是的，你没看错，这坑爹玩意还要你提交3 个…,2,s052-233ccebc
s053,4,走私品的制备,63,65,势力、熟练度、地图、制作、走私品的制备,拿到加工过的庭院植物后，玩家可以在对应领地的庭院植物管理员处接到指引做 货任务： 拿到加工过的庭院植物后，玩家可以在对应领地的势力总部的小帐篷里用矿泉水或者火木启动制作台（地图能获得哪个就需要那个）（注意！！,4,s053-eae743f4
s054,4,走私品的收益,65,67,熟练度、收益、走私品的收益,满熟练度加成如下： 安息之地： 地灵之界：,2,s054-0c9caa4e
s055,2,1.3 钓鱼,67,67,钓鱼,本节为“1.3 钓鱼”的结构节点，正文主要分布在其子章节。,0,s055-9bf9e348
s056,3,1.3.1 钓鱼的种类,67,67,钓鱼、钓鱼的种类,钓鱼可以根据方式不同，分为以下几类： ①钓小鱼②钓大鱼 根据内容不同，①钓小鱼可以分为以下几类： ③普通钓小鱼④自由岛高级钓鱼⑤镜之地冰钓 根据内容不同，②钓大鱼可以分为以下几类： ⑥淡水钓大鱼⑦海水钓大鱼,0,s056-63e8aa92
s057,3,1.3.2  钓鱼的前置准备,67,71,钓鱼、熟练度、收益、前置准备、位置、制作、钓鱼的前置准备,钓鱼前根据种类的不同我们要准备的东西也不同。 如果是要钓小鱼，则需要准备鱼竿和蠕动的蚯蚓。,11,s057-c266063a
s058,3,1.3.3 影响钓鱼时间的因素,71,71,钓鱼、时间、影响钓鱼时间的因素,本节为“1.3.3 影响钓鱼时间的因素”的结构节点，正文主要分布在其子章节。,0,s058-c1dacbb3
s059,4,影响钓小鱼时间的因素,71,71,钓鱼、熟练度、时间、影响钓小鱼时间的因素,1）使用床睡觉后获得的生活相关活动施法时间减少的BUFF 2）熟练度时装自带生活相关活动施法时间减少的效果 3）玩家熟练度减少施法时间 4）对应晨露时装在连续3 次钓鱼后的减少施法时间的BUFF 5）家具提供的生活相关活动施法时间减少的BUFF 6）快速生产卷轴的BUFF,0,s059-2b50679b
s060,4,钓大鱼多出以下影响因素,71,72,钓鱼、熟练度、时间、注意事项、钓大鱼多出以下影响因素,7）钓鱼时装带来的伤害加成 8）熟练度带来的伤害加成 9）鱼竿等级带来的伤害加成 10）蚂蚁、小象BUFF 带来的移速加成 11）脚蹼带来的游泳速度加成 注意事项！！,1,s060-8098711b
s061,3,1.3.4 钓小鱼,72,73,地图、钓小鱼,在背包里准备充足的蠕动的蚯蚓后，装备上鱼竿，右键第一个交互键，再左键一个离自己较近的水面即可开始自动钓小鱼。 小鱼有以下2 种分类： 1)水质分类：小鱼分为淡水鱼和海水鱼，淡水鱼就是你随便哪个地图找的小沟小河，钓上来的都是淡水鱼。,1,s061-27442109
s062,3,1.3.5 镜之地冰钓与自由岛高级垂钓,73,77,钓鱼、熟练度、劳动力、时间、注意事项、镜之地冰钓与自由岛高级垂钓,镜之地冰钓需要先在杂 削冰铲需要达到12W 钓鱼熟练度才可以使用。 货商人除购买削冰铲。,10,s062-f0fd269f
s063,3,1.3.6 钓淡水大鱼,77,83,钓鱼、劳动力、地图、钓淡水大鱼,在鱼群区域使用腥味的鱼粉饭团。使用方法为右键点击蚯蚓味饭团，再对着水鸟飞舞处水面单击鼠标左键，即可获得钓大鱼BUFF。,17,s063-21613170
s064,3,1.3.7 钓海水大鱼,83,88,钓鱼、熟练度、劳动力、位置、地图、钓海水大鱼,先通过渔船的鱼群探测器在海上找到鱼群： 找到并标记这种一条鱼符号的。 到了之后会看到鱼群上方有海鸥飞 舞，如下图： 在鱼群区域使用卡夫饭团诱饵。,10,s064-7a807a96
s065,3,1.3.8 新版本渔船的升级（钓鱼必备）,88,90,钓鱼、制作、升级、新版本渔船的升级、钓鱼必备,所有渔船都可以在木工制作台使用一个船舶升级券升级。 升级券如下： 升级后，渔船上会有2 个小桶+1 个大通，小桶只能装中小型鱼，大桶可以装中小型鱼，也可以装大型鱼（交互键不一样，一个F 一个G）。,2,s065-2a720c4d
s066,2,1.4 采矿,90,90,采矿,本节为“1.4 采矿”的结构节点，正文主要分布在其子章节。,0,s066-537da064
s067,3,1.4.1 采矿的种类,90,90,采矿、采矿的种类,根据采矿的性质我们可以将采矿分为两类： ①普通采矿②特殊采矿 普通采矿根据方式不同，可以分为以下三种： ③野外挖矿④矿脉农场采矿⑤大小矿机采矿 特殊采矿根据对象不同，可以分为以下几种： ⑥挖未鉴定的矿脉⑦挖碎星矿⑧挖亚纳碎石,0,s067-d1e13697
s068,3,1.4.2 影响采矿时间的因素,90,90,采矿、熟练度、时间、影响采矿时间的因素,影响采矿时间的因素仅有以下六种： 1）使用床睡觉后获得的生活相关活动施法时间减少的BUFF 2）熟练度时装自带生活相关活动施法时间减少的效果 3）玩家熟练度减少施法时间 4）对应晨露时装在连续3 次采矿后的减少施法时间的BUFF 5）家具提供的生活相关活动施法时间减少的BUFF 6）快速生产卷轴的BUFF,0,s068-a8dfd1b7
s069,3,1.4.3 野外挖矿,90,95,采矿、熟练度、野外挖矿,野外采矿需要我们先前往野外的矿点。常用的矿点有以下几个： 碎石平原 黎利尔丘陵 虎脊山脉 黎明半岛 伊尼斯泰尔 到达矿点后，我们要先对石碓进行交互。,12,s069-45a93de5
s070,3,1.4.4 矿脉农场采矿,95,96,采矿、矿脉农场采矿,使用这种方法需要玩家拥有一个矿脉农场，开始采集后30 分钟后开始一次判定， 大概率是普通矿脉。 30 分钟后如果是普通矿脉，则再过X 小时可以收获一次积累3 次的普通矿脉， 如果是惊喜矿脉则是再过X 小时可以收获一次积累3 次的惊喜矿脉，低概率收获宝石。,1,s070-808b296c
s071,3,1.4.5 大小矿机采矿,96,96,采矿、大小矿机采矿,使用这种方法需要玩家在空地上放置一个采矿机，每隔X 小时可以收获一次，低概率收获宝石。大矿机为3.5 小时一收，小矿机为6 小时收一次。,2,s071-8fe5bd70
s072,3,1.4.6 挖碎星矿,96,100,位置、地图、挖碎星矿,碎星矿只能在十字星外边海底挖矿获得。碎星矿分布在岩浆附近和火山口附近。,8,s072-d4750371
s073,3,1.4.7 挖亚纳碎石,100,102,熟练度、劳动力、位置、地图、挖亚纳碎石,亚纳石碓分别在墟境之口在狂蟒墟境圈圈通道处。如图所示： 挖亚纳石碓需要熟练度至少有，如图所示; 亚纳碎石还可以通过挖去该地图矿洞内集中刷新的亚纳石碓获得，矿洞内的石碓产量更大，但有概率会吸引来其他玩家或者敌对玩家来抢夺石碓。,4,s073-cbc2f294
s074,2,1.5 巡山与野种,102,102,巡山、野种、巡山与野种,本节为“1.5 巡山与野种”的结构节点，正文主要分布在其子章节。,0,s074-fc41a191
s075,3,1.5.1 巡山是什么,102,102,巡山、野种、地图、巡山是什么,巡山指的是在野外地图（多为山间）到处闲逛，意图寻找到野外的公共资源和玩家野种的资源的行为。,0,s075-d8761e5f
s076,3,1.5.2 巡山的收益,102,102,巡山、野种、举报、收益、巡山的收益,可以获得其他玩家野种的资源。获得各种果实和原木。,1,s076-a6b812d1
s077,3,1.5.3 我需不需要巡山？,102,103,巡山、野种、劳动力、收益、我需不需要巡山？,如果你恰巧缺少某种果实，且知道在那篇区域刷新，或者知道那有野种的就可以去巡山，否则一般情况下不建议巡山，收益不是很大。当然你除了劳动力一无所有的话，巡山还是很适合你的。,0,s077-fdee9bc1
s078,3,1.5.4 野种是什么,103,103,野种、时间、野种是什么,野种指的是将种子或者种子捆在野外（非菜地）进行种植的行为。 野种主要推荐果树，尤其是生长时间长，占地面积大，容易死亡的果树。,0,s078-f83b676b
s079,3,1.5.5 野种的成本与收益,103,103,野种、劳动力、收益、野种的成本与收益,使用少许劳动力将占地面积巨大的东西种植在野外，节约了土地占有成本。 不过当今版本野种存在数量上限，一个账号为100 个单位。,0,s079-e3613019
s080,3,1.5.6野种的注意事项,103,104,野种、注意事项、1.5.6野种的注意事项,野种最好种植主线活动区域视野刷新范围以外，这样子可以最大程度的避免被偷东西和避免被砍伐树木。,0,s080-589d00e4
s081,3,1.5.7 庭院摘花,104,105,庭院摘花,庭院摘花可以获得庭院侦查分数和以下道具： 在下图对应颜色框内可以大量采集对应颜色的花：,5,s081-ce52a0d5
s082,2,1.6债券,105,105,债券、1.6债券,本节为“1.6债券”的结构节点，正文主要分布在其子章节。,0,s082-eb778e5e
s083,3,1.6.1 债券的种类,105,105,债券、债券的种类,债券根据获得方式，可以分为以下两种： ①蓝颜商会债券证书 （俗称的债券一般指的是这个） ②原大陆地区发展之证,2,s083-5c19dbbb
s084,3,1.6.2 蓝颜商会债券证书的获取,105,106,债券、制作、升级、蓝颜商会债券证书的获取,蓝颜商会债券证书可以通过以下五种方式获取： 1）住民面板每日刷新资材任务 2）地区住民NPC 每日资材和制作特产任务 3）升级房屋自带的债券任务 4）十字星平原和伊尼斯泰尔战争跑图任务 5）周六早上的攻城、守城参与奖励,0,s084-f7c74355
s085,3,1.6.3 原大陆地区发展之证的获取,106,106,原大陆地区发展之证的获取,原大陆地区发展之证可以通过以下几种方式获取： 1）原大陆前线基地面板每日刷新袋子箱子提交任务 2）原大陆住民前线基地每日活动任务（击杀该地区50 个怪）,0,s085-c59f3ec4
s086,3,1.6.4 蓝颜商会债券证书的用途,106,106,债券、债券货、制作、蓝颜商会债券证书的用途,蓝颜商会债券证书的用途主要为以下几种： 1）制作蓝颜商会运输品（也就是债券货） 2）提交给拥有住民资格的地区NPC 获取地区贡献，以参与地区发展3 阶段半个 月后的分红 3）在主城大厅处的噜噜NPC 处换取巨匠装备,0,s086-2127b949
s087,3,1.6.5原大陆地区发展之证的用途,106,106,披风、不推荐,原大陆地区发展之证的用途主要为以下几种： 1）在光芒海岸烟飨之庭附近的NPC 处兑换古代装备（不推荐） 2）提交给拥有原大陆住民资格的地区前线基地的进贡书记官获取地区贡献，以参与地区发展3 阶段半个月后的分红 3）兑换古代经验瓶子 4）兑换披风经验石头,0,s087-2533539c
s088,3,1.6.6 住民地区的阶段与分红,106,109,债券、劳动力、地图、制作、住民地区的阶段与分红,所有住民地区都有发展阶段（光明海岸除外），分为为： 发展等待阶段、发展1 阶段、发展2 阶段、发展3 阶段到达发展三阶段后可以解锁地区特有制作台或者商人同时半个月后会给有地区贡献的居民按贡献比例分红，并回归到发展等待阶段。 远大路住民地图可以通过消耗劳动力清扫尸体来获得贡献值，但是东西大陆只能通过提交债券来获得贡献值。,2,s088-735eeccb
s089,2,1.7星期限定活动,109,109,星期限定活动、1.7星期限定活动,本节为“1.7星期限定活动”的结构节点，正文主要分布在其子章节。,0,s089-c4e8f80f
s090,3,1.7.1 什么是星期限定活动,109,109,星期限定活动、黑炭、时间、什么是星期限定活动,星期限定活动指的是，只能在指定星期数进行接取和提交任务的活动。 该类活动在接取后会有一个24 小时的时间限制，需要在24 小时内完成该任务。,0,s090-05d58571
s091,3,1.7.2 周一跑黑色源晶精华（黑炭）任务,109,112,副本、黑炭、劳动力、周一跑黑色源晶精华、任务,周一可以在光芒烟飨之庭副本右边，或者主城看到以下NPC： 3 个阶段任务分别需要交7、14、28 包交易品，只有是获得的黑炭的，不管是东大西大对跑还是原大陆来回跑都能完成任务，是不是自己买的货对完成任务没有影响， 也就是说你可以让家族里一直跑黑炭的人货给你交做任务，你给他黑炭帮他节约劳动力。同样你打劫来的货一样可以完成任务。,8,s091-798a748d
s092,3,1.7.3 周二、六出海钓大鱼任务,112,113,钓鱼、副本、周二、六出海钓大鱼任务,在每周二、六你可以在光芒烟飨之庭副本右边，或者主城看到以下NPC： 对话后接取5 阶段钓鱼任务。 该任务如题所言，必须是出海钓大鱼并交了才能完成，淡水大鱼不能完成任务。,7,s092-83cee0f7
s093,3,1.7.4 周三挖宝箱、沉船、藏宝图任务,113,113,沉船、周三挖宝箱、藏宝图任务,本节为“1.7.4 周三挖宝箱、沉船、藏宝图任务”的结构节点，正文主要分布在其子章节。,0,s093-afe1e320
s094,4,任务流程,113,117,副本、海底宝箱、沉船、探险、熟练度、注意事项、任务流程,每周三重置后在光芒烟飨之庭副本右边，或者主城刷新任务NPC，NPC 如下图： 任务内容如下： 注意事项：沉船宝箱任务每阶段计分规则是不一样的，本攻略以完成5 阶段的计分标准来记述。 在探险熟练度达标的情况下，一船沉船为16 包货=48 积分，即1 包货=3 积分， 要挖上3 船沉船才能完成5 阶段任务，不过你可以重置前就开始找沉船，挖好后去光芒海岸，然后跳门…,11,s094-57c6ac52
s095,4,只做1阶段（搞海战币）,117,117,海底宝箱、只做1阶段、搞海战币,只需要挖8 个海底宝箱即可完成一阶段任务拿到海战币。,0,s095-0fc1d65a
s096,4,鱼币（分类为水产品）兑换道具,117,119,鱼币、分类为水产品、兑换道具,进入幻想岛后右转，找到以下兑换机： 这里面可以兑换的东西非常多，建议使用搜搜功能，方法如下： 先鼠标右键红色箭头①指向的材料，再在红色框里输入gold，再鼠标右键点击蓝 色箭头指向的搜索。如下图： 搜索后，第二个栏目即是可以兑换的内容，如下：,3,s096-f59f07a6
s097,3,1.7.6 周五前往自由岛跑稳定的龙骨精华任务,119,121,黑炭、龙骨,周五的跑龙骨任务和周一的跑黑炭任务一样，不管是哪买的谁买的货，只要是你交到自由岛的卖龙骨NPC 就能完成任务。 龙骨3 阶段任务和提交3 个任务的任务奖励如图： 3 阶段任务奖励宝箱内容如图： 随机赛艇图纸如下:,6,s097-822ac44d
s098,3,1.7.7周六跑内陆货任务,121,122,副本、普通货、星星货、发酵货、1.7.7周六跑内陆货任务,周六可以在光芒烟飨之庭副本右边，或者主城看到以下NPC： 他的任务是让你跑28 包金币货，不 管是普通货、星星货、肥料货、发酵货等 都是可以完成任务的。同样的该任务对制 作人也没有要求，你只需要交28 包货， 即可获得45 露露币 跑完28 包货后找 该NPC 提交任务即可获得45 个鲁鲁币。,2,s098-c349c7b8
s099,3,1.7.8 周日早上幻想岛钓鱼大赛,122,122,钓鱼、周日早上幻想岛钓鱼大赛,本节为“1.7.8 周日早上幻想岛钓鱼大赛”的结构节点，正文主要分布在其子章节。,0,s099-be1684eb
